ID,Duration (in seconds),What is your age (# years)?,What is your gender? - Selected Choice,In which country do you currently reside?,"Are you currently a student? (high school, university, or graduate)","Have you ever published any academic research (papers, preprints, conference proceedings, etc)?",For how many years have you been writing code and/or programming?,For how many years have you used machine learning methods?,Which of the following ML model hubs/repositories do you use most often? - Selected Choice,Select the title most similar to your current role (or most recent title if retired): - Selected Choice,In what industry is your current employer/contract (or your most recent employer if retired)? - Selected Choice,What is the size of the company where you are employed?,Approximately how many individuals are responsible for data science workloads at your place of business?,Does your current employer incorporate machine learning methods into their business?,What is your current yearly compensation (approximate $USD)?,"Approximately how much money have you spent on machine learning and/or cloud computing services at home or at work in the past 5 years (approximate $USD)?
 (approximate $USD)?","Of the cloud platforms that you are familiar with, which has the best developer experience (most enjoyable to use)? - Selected Choice",Approximately how many times have you used a TPU (tensor processing unit)?
6392,975,25-29,Man,Brazil,Yes,,< 1 years,Under 1 year,,,,,,,,,,
6393,306,22-24,Man,South Korea,Yes,,1-3 years,I do not use machine learning methods,,,,,,,,,,
6394,368,18-21,Man,Kenya,Yes,,1-3 years,Under 1 year,,,,,,,,,,
6395,309,30-34,Man,Mexico,No,,3-5 years,Under 1 year,,Data Scientist,Insurance/Risk Assessment,0-49 employees,1-2,I do not know,"2,000-2,999",$0 ($USD),,
6396,1176,50-54,Man,India,No,No,10-20 years,I do not use machine learning methods,,Software Engineer,Computers/Technology,0-49 employees,0,No (we do not use ML methods),,$100-$999,,
6397,173,22-24,Man,India,Yes,,< 1 years,I do not use machine learning methods,,,,,,,,,,
6398,329,25-29,Man,Brazil,No,No,< 1 years,I do not use machine learning methods,,Currently not employed,,,,,,,,
6399,167,30-34,Man,India,Yes,No,I have never written code,,,,,,,,,,,
6400,261,22-24,Man,India,No,,< 1 years,I do not use machine learning methods,,Currently not employed,,,,,,,,
6401,978,40-44,Man,India,No,Yes,< 1 years,Under 1 year, Kaggle datasets ,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Manufacturing/Fabrication,"1000-9,999 employees",5-9,We use ML methods for generating insights (but do not put working models into production),"10,000-14,999","$1000-$9,999", Microsoft Azure ,2-5 times
6402,9473,18-21,Man,India,Yes,,,,,,,,,,,,,
6403,393,22-24,Woman,Nigeria,Yes,,< 1 years,1-2 years,,,,,,,,,,
6404,525,22-24,Man,India,Yes,,1-3 years,,,,,,,,,,,
6405,195,25-29,Man,Japan,No,,3-5 years,,,,,,,,,,,
6406,200,22-24,Man,India,No,,I have never written code,,,Machine Learning/ MLops Engineer,Computers/Technology,0-49 employees,0,No (we do not use ML methods),$0-999,$0 ($USD),,
6407,766,22-24,Man,Nigeria,Yes,Yes,1-3 years,1-2 years,,,,,,,,,,
6408,275,18-21,Man,India,Yes,,1-3 years,Under 1 year,,,,,,,,,,
6409,548,45-49,Man,Brazil,No,Yes,20+ years,5-10 years,,Software Engineer,Computers/Technology,0-49 employees,3-4,"We have well established ML methods (i.e., models in production for more than 2 years)","60,000-69,999",$100-$999, Microsoft Azure ,Never
6410,328,18-21,Woman,India,Yes,No,3-5 years,I do not use machine learning methods,,,,,,,,,,
6411,2000,40-44,Man,Taiwan,No,Yes,1-3 years,1-2 years,,Engineer (non-software),Non-profit/Service,"1000-9,999 employees",3-4,We are exploring ML methods (and may one day put a model into production),"5,000-7,499",$100-$999,,2-5 times
6412,801,35-39,Man,India,No,Yes,1-3 years,1-2 years,,Teacher / professor,Academics/Education,50-249 employees,1-2,We are exploring ML methods (and may one day put a model into production),"3,000-3,999",$0 ($USD),,
6413,272,18-21,Man,India,Yes,,1-3 years,I do not use machine learning methods,,,,,,,,,,
6414,376,25-29,Man,Russia,No,Yes,3-5 years,Under 1 year,,Software Engineer,Academics/Education,250-999 employees,1-2,No (we do not use ML methods),"7,500-9,999",$0 ($USD),,
6415,151,35-39,Woman,United States of America,No,,I have never written code,,,,,,,,,,,
6416,137553,35-39,Man,Belgium,Yes,,,,,,,,,,,,,
6417,201,18-21,Man,Canada,Yes,No,1-3 years,1-2 years,,,,,,,,,,
6418,683,22-24,Man,Philippines,Yes,,1-3 years,Under 1 year,,,,,,,,,,
6419,226,45-49,Woman,Czech Republic,No,,< 1 years,I do not use machine learning methods,,Currently not employed,,,,,,,,
6420,437,18-21,Man,Peru,Yes,No,< 1 years,Under 1 year,,,,,,,,,,
6421,1342,18-21,Man,India,Yes,,< 1 years,I do not use machine learning methods,,,,,,,,,,
6422,297,30-34,Man,Bangladesh,Yes,No,I have never written code,,,,,,,,,,,
6423,246,18-21,Woman,India,Yes,,1-3 years,1-2 years,,,,,,,,,,
6424,229,18-21,Man,India,Yes,,1-3 years,Under 1 year,  TensorFlow Hub ,,,,,,,,,
6425,477,35-39,Man,India,No,Yes,10-20 years,5-10 years,,Data Scientist,Insurance/Risk Assessment,50-249 employees,10-14,"We have well established ML methods (i.e., models in production for more than 2 years)","30,000-39,999","$1000-$9,999", Amazon Web Services (AWS) ,2-5 times
6426,735,40-44,Man,Indonesia,No,,20+ years,1-2 years,,Software Engineer,Computers/Technology,0-49 employees,1-2,No (we do not use ML methods),"10,000-14,999",$1-$99, Google Cloud Platform (GCP) ,2-5 times
6427,339,25-29,Man,Hong Kong (S.A.R.),No,,< 1 years,I do not use machine learning methods,,Other,Other,50-249 employees,1-2,No (we do not use ML methods),"60,000-69,999",$1-$99,,
6428,2023,45-49,Man,Ireland,Yes,No,< 1 years,Under 1 year,,,,,,,,,,
6429,249,30-34,Man,China,No,,5-10 years,1-2 years,,Software Engineer,Online Service/Internet-based Services,0-49 employees,3-4,We are exploring ML methods (and may one day put a model into production),,,,
6430,526,40-44,Man,"Iran, Islamic Republic of...",No,,10-20 years,1-2 years,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Online Service/Internet-based Services,0-49 employees,5-9,No (we do not use ML methods),,,,
6431,474,22-24,Man,India,Yes,,5-10 years,Under 1 year,,,,,,,,,,
6432,345,22-24,Woman,India,Yes,Yes,1-3 years,1-2 years,  TensorFlow Hub ,,,,,,,,,
6433,1118,35-39,Woman,France,No,No,1-3 years,1-2 years, PyTorch Hub ,Other,Manufacturing/Fabrication,"10,000 or more employees",,,,,,
6434,126,30-34,Man,United States of America,No,No,5-10 years,,,,,,,,,,,
6435,460,30-34,Woman,South Korea,No,Yes,5-10 years,5-10 years, Huggingface Models ,Research Scientist,Computers/Technology,0-49 employees,3-4,We use ML methods for generating insights (but do not put working models into production),"70,000-79,999",$0 ($USD),,
6436,552,55-59,Woman,United States of America,No,No,< 1 years,I do not use machine learning methods,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,0-49 employees,0,No (we do not use ML methods),$0-999,$0 ($USD),,
6437,404,25-29,Man,South Africa,No,No,1-3 years,Under 1 year,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Insurance/Risk Assessment,50-249 employees,1-2,We are exploring ML methods (and may one day put a model into production),"20,000-24,999","$1000-$9,999",,Never
6438,370,25-29,Woman,India,No,No,< 1 years,1-2 years,,Currently not employed,,,,,,,,
6439,356,22-24,Man,Pakistan,No,,1-3 years,Under 1 year,,Developer Advocate,Computers/Technology,0-49 employees,0,No (we do not use ML methods),"40,000-49,999",$0 ($USD),,
6440,171,25-29,Man,Brazil,No,No,I have never written code,,,Engineer (non-software),Manufacturing/Fabrication,250-999 employees,1-2,No (we do not use ML methods),$0-999,$0 ($USD),,
6441,1390,22-24,Man,India,Yes,,1-3 years,,,,,,,,,,,
6442,133,22-24,Woman,Singapore,Yes,,I have never written code,,,,,,,,,,,
6443,513,60-69,Man,Argentina,No,,1-3 years,Under 1 year,,Research Scientist,Accounting/Finance,0-49 employees,0,No (we do not use ML methods),"5,000-7,499","$10,000-$99,999",,Never
6444,679,25-29,Man,India,No,No,< 1 years,Under 1 year,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Government/Public Service,"10,000 or more employees",20+,We are exploring ML methods (and may one day put a model into production),"7,500-9,999","$1000-$9,999", Amazon Web Services (AWS) ,Never
6445,325,50-54,Man,India,No,,3-5 years,Under 1 year,,Currently not employed,,,,,,,,
6446,1976,30-34,Man,India,No,Yes,1-3 years,1-2 years,,"Manager (Program, Project, Operations, Executive-level, etc)",Manufacturing/Fabrication,"1000-9,999 employees",1-2,No (we do not use ML methods),$0-999,$1-$99,They all had a similarly enjoyable developer experience,Never
6447,850,35-39,Man,United States of America,No,Yes,10-20 years,5-10 years, Kaggle datasets ,Research Scientist,Computers/Technology,0-49 employees,3-4,We use ML methods for generating insights (but do not put working models into production),"10,000-14,999","$10,000-$99,999", Amazon Web Services (AWS) ,2-5 times
6448,263,18-21,Man,Viet Nam,Yes,,1-3 years,1-2 years, Huggingface Models ,,,,,,,,,
6449,559,25-29,Man,India,No,,< 1 years,Under 1 year,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Marketing/CRM,50-249 employees,3-4,No (we do not use ML methods),"2,000-2,999",$100-$999,,
6450,679,22-24,Man,India,No,,< 1 years,I do not use machine learning methods,,Software Engineer,Computers/Technology,0-49 employees,0,No (we do not use ML methods),$0-999,$0 ($USD),,
6451,227,25-29,Woman,India,No,,I have never written code,,,Other,Other,0-49 employees,0,No (we do not use ML methods),$0-999,$1-$99,,
6452,181,25-29,Man,Mexico,Yes,Yes,< 1 years,I do not use machine learning methods,,,,,,,,,,
6453,277,40-44,Man,Pakistan,No,,< 1 years,I do not use machine learning methods,,Currently not employed,,,,,,,,
6454,209,22-24,Man,India,Yes,No,1-3 years,I do not use machine learning methods,,,,,,,,,,
6455,734,50-54,Man,Japan,No,No,20+ years,5-10 years,  TensorFlow Hub ,Teacher / professor,Academics/Education,"1000-9,999 employees",20+,I do not know,"7,500-9,999",$0 ($USD),,
6456,592,22-24,Woman,Morocco,Yes,Yes,1-3 years,1-2 years,,,,,,,,,,
6457,280,18-21,Woman,India,Yes,,1-3 years,Under 1 year,,,,,,,,,,
6458,1404,30-34,Woman,Poland,No,No,< 1 years,Under 1 year,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Broadcasting/Communications,"1000-9,999 employees",1-2,No (we do not use ML methods),"10,000-14,999",$100-$999,,Never
6459,407,22-24,Man,India,Yes,,< 1 years,Under 1 year,,,,,,,,,,
6460,444,50-54,Man,United States of America,No,Yes,20+ years,5-10 years, Huggingface Models ,"Manager (Program, Project, Operations, Executive-level, etc)",Medical/Pharmaceutical,0-49 employees,3-4,We use ML methods for generating insights (but do not put working models into production),$0-999,$0 ($USD),,
6461,385,18-21,Man,South Korea,Yes,,3-5 years,Under 1 year,,,,,,,,,,
6462,374,30-34,Woman,United States of America,No,,< 1 years,Under 1 year,,Currently not employed,,,,,,,,
6463,696,45-49,Man,Spain,No,Yes,3-5 years,4-5 years,,Other,Broadcasting/Communications,"10,000 or more employees",20+,No (we do not use ML methods),"60,000-69,999",$0 ($USD),,
6464,282,30-34,Woman,India,No,No,< 1 years,Under 1 year,,,,,,,,,,
6465,288,25-29,Woman,Brazil,Yes,No,1-3 years,I do not use machine learning methods,,,,,,,,,,
6466,566,40-44,Man,Chile,No,No,3-5 years,2-3 years, PyTorch Hub ,Currently not employed,,,,,,,,
6467,338,35-39,Man,India,Yes,No,5-10 years,Under 1 year,,,,,,,,,,
6468,344,18-21,Man,India,Yes,No,1-3 years,Under 1 year,,,,,,,,,,
6469,1024,50-54,Man,Japan,No,No,1-3 years,3-4 years,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,"1000-9,999 employees",1-2,We are exploring ML methods (and may one day put a model into production),"3,000-3,999","$1000-$9,999", Google Cloud Platform (GCP) ,2-5 times
6470,241,22-24,Man,United States of America,Yes,No,1-3 years,Under 1 year,,,,,,,,,,
6471,511,18-21,Man,India,Yes,,< 1 years,I do not use machine learning methods,,,,,,,,,,
6472,311,22-24,Man,India,Yes,,< 1 years,Under 1 year,,,,,,,,,,
6473,376,22-24,Man,India,Yes,,< 1 years,I do not use machine learning methods,,,,,,,,,,
6474,1718,25-29,Woman,I do not wish to disclose my location,No,,1-3 years,1-2 years,,Machine Learning/ MLops Engineer,Computers/Technology,0-49 employees,1-2,We are exploring ML methods (and may one day put a model into production),"1,000-1,999",$1-$99,They all had a similarly enjoyable developer experience,2-5 times
6475,240,18-21,Woman,Other,Yes,Yes,< 1 years,,,,,,,,,,,
6476,311,22-24,Woman,India,No,,< 1 years,I do not use machine learning methods,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,50-249 employees,3-4,We are exploring ML methods (and may one day put a model into production),"5,000-7,499",$0 ($USD),,
6477,2211,45-49,Man,India,No,Yes,1-3 years,3-4 years,,Research Scientist,Academics/Education,"1000-9,999 employees",3-4,"We recently started using ML methods (i.e., models in production for less than 2 years)","4,000-4,999",$100-$999,,Never
6478,277,18-21,Man,India,Yes,,< 1 years,Under 1 year,,,,,,,,,,
6479,128,18-21,Man,Algeria,Yes,,< 1 years,I do not use machine learning methods,,,,,,,,,,
6480,1152,25-29,Man,Nigeria,Yes,No,1-3 years,Under 1 year,,,,,,,,,,
6481,217,18-21,Woman,Mexico,Yes,,,,,,,,,,,,,
6482,293,25-29,Man,Pakistan,Yes,No,< 1 years,Under 1 year,,,,,,,,,,
6483,179,30-34,Man,United States of America,No,Yes,1-3 years,I do not use machine learning methods,,Currently not employed,,,,,,,,
6484,377,18-21,Man,Russia,Yes,No,3-5 years,Under 1 year,,,,,,,,,,
6485,161,45-49,Man,United States of America,Yes,,20+ years,1-2 years,,,,,,,,,,
6486,285,22-24,Woman,India,Yes,No,1-3 years,Under 1 year,,,,,,,,,,
6487,521,18-21,Man,India,No,No,1-3 years,1-2 years,,Software Engineer,Computers/Technology,"10,000 or more employees",20+,I do not know,"1,000-1,999",$0 ($USD),,
6488,120,25-29,Man,South Korea,Yes,,,,,,,,,,,,,
6489,286,25-29,Man,United States of America,Yes,Yes,1-3 years,2-3 years,,,,,,,,,,
6490,196,22-24,Man,Czech Republic,No,No,3-5 years,1-2 years,,Currently not employed,,,,,,,,
6491,450,35-39,Woman,United States of America,No,,1-3 years,I do not use machine learning methods,,Research Scientist,Manufacturing/Fabrication,"10,000 or more employees",20+,I do not know,"40,000-49,999",$0 ($USD),,
6492,237,18-21,Man,India,Yes,,1-3 years,Under 1 year,,,,,,,,,,
6493,1001,22-24,Man,Nigeria,No,,1-3 years,1-2 years,,Data Engineer,Government/Public Service,50-249 employees,0,No (we do not use ML methods),"1,000-1,999",$0 ($USD),,
6494,707,25-29,Woman,India,No,,3-5 years,3-4 years,,Data Scientist,Medical/Pharmaceutical,"10,000 or more employees",20+,"We recently started using ML methods (i.e., models in production for less than 2 years)","25,000-29,999","$1000-$9,999",,Never
6495,471,35-39,Man,Brazil,No,No,< 1 years,I do not use machine learning methods,,Engineer (non-software),Manufacturing/Fabrication,50-249 employees,0,No (we do not use ML methods),"10,000-14,999",$0 ($USD),,
6496,624,30-34,Man,India,No,No,10-20 years,3-4 years, Huggingface Models ,Data Scientist,Computers/Technology,"10,000 or more employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)","90,000-99,999",$1-$99, Amazon Web Services (AWS) ,6-25 times
6497,564,25-29,Man,Russia,No,Yes,3-5 years,2-3 years, Huggingface Models ,Machine Learning/ MLops Engineer,Computers/Technology,"10,000 or more employees",10-14,"We have well established ML methods (i.e., models in production for more than 2 years)","50,000-59,999",$1-$99,,2-5 times
6498,263,18-21,Man,Egypt,Yes,,1-3 years,Under 1 year,  TensorFlow Hub ,,,,,,,,,
6499,600,22-24,Woman,India,No,,3-5 years,I do not use machine learning methods,,Currently not employed,,,,,,,,
6500,10140,40-44,Man,Saudi Arabia,No,Yes,I have never written code,,,Engineer (non-software),Energy/Mining,"1000-9,999 employees",3-4,"We have well established ML methods (i.e., models in production for more than 2 years)",,,,
6501,2333,25-29,Woman,Hong Kong (S.A.R.),Yes,No,< 1 years,1-2 years,,,,,,,,,,
6502,1306,60-69,Man,Canada,No,Yes,5-10 years,10-20 years,,"Manager (Program, Project, Operations, Executive-level, etc)",Accounting/Finance,"10,000 or more employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)","150,000-199,999","$1000-$9,999", Amazon Web Services (AWS) ,Never
6503,43642,25-29,Man,Canada,No,,< 1 years,,,,,,,,,,,
6504,1831,50-54,Man,Japan,No,,< 1 years,Under 1 year,,Other,Manufacturing/Fabrication,50-249 employees,0,No (we do not use ML methods),"3,000-3,999",$100-$999,,Once
6505,258,30-34,Man,Malaysia,Yes,No,1-3 years,Under 1 year,,,,,,,,,,
6506,694,25-29,Woman,United States of America,Yes,No,1-3 years,Under 1 year,,,,,,,,,,
6507,206,22-24,Man,India,No,,I have never written code,,,Currently not employed,,,,,,,,
6508,150,18-21,Woman,Turkey,Yes,,I have never written code,,,,,,,,,,,
6509,363,35-39,Woman,United Kingdom of Great Britain and Northern Ireland,Yes,No,3-5 years,Under 1 year,  TensorFlow Hub ,,,,,,,,,
6510,200,25-29,Man,Ecuador,Yes,,1-3 years,3-4 years,,,,,,,,,,
6511,291,25-29,Man,India,Yes,Yes,< 1 years,Under 1 year,,,,,,,,,,
6512,706,18-21,Man,Brazil,Yes,No,3-5 years,2-3 years, PyTorch Hub ,,,,,,,,,
6513,271,18-21,Man,India,Yes,,1-3 years,Under 1 year,,,,,,,,,,
6514,429,25-29,Man,Brazil,No,,< 1 years,I do not use machine learning methods,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Broadcasting/Communications,"10,000 or more employees",20+,No (we do not use ML methods),"15,000-19,999",$0 ($USD),,
6515,369,22-24,Man,India,Yes,No,< 1 years,Under 1 year,,,,,,,,,,
6516,383,18-21,Man,India,Yes,No,3-5 years,Under 1 year,,,,,,,,,,
6517,196,25-29,Man,India,Yes,No,1-3 years,I do not use machine learning methods,,,,,,,,,,
6518,491,45-49,Man,India,No,,,,,,,,,,,,,
6519,359,40-44,Man,India,Yes,No,10-20 years,Under 1 year,,,,,,,,,,
6520,580,25-29,Man,China,No,No,1-3 years,2-3 years, Kaggle datasets ,Currently not employed,,,,,,,,
6521,1204,25-29,Man,India,No,,1-3 years,1-2 years,,Teacher / professor,,,,,,,,
6522,255,18-21,Man,India,Yes,,1-3 years,1-2 years, Kaggle datasets ,,,,,,,,,
6523,379,18-21,Man,Other,Yes,,1-3 years,Under 1 year,,,,,,,,,,
6524,685,55-59,Man,Netherlands,No,Yes,20+ years,5-10 years,,Research Scientist,Government/Public Service,"1000-9,999 employees",20+,"We recently started using ML methods (i.e., models in production for less than 2 years)",,$0 ($USD),,
6525,3382,55-59,Man,South Africa,No,No,5-10 years,3-4 years, Kaggle datasets ,Data Scientist,Accounting/Finance,0-49 employees,1-2,I do not know,,,,
6526,256,18-21,Man,India,Yes,,< 1 years,I do not use machine learning methods,,,,,,,,,,
6527,220,40-44,Man,Kenya,No,,,,,,,,,,,,,
6528,258,50-54,Man,United States of America,No,No,I have never written code,,,Other,Government/Public Service,50-249 employees,1-2,I do not know,"125,000-149,999","$1000-$9,999",,
6529,79237,22-24,Man,Indonesia,No,,,,,,,,,,,,,
6530,2425,50-54,Man,Japan,No,,20+ years,Under 1 year,,Engineer (non-software),Manufacturing/Fabrication,"10,000 or more employees",20+,"We recently started using ML methods (i.e., models in production for less than 2 years)","80,000-89,999","$1000-$9,999",,Never
6531,421,25-29,Man,India,No,Yes,< 1 years,Under 1 year, Kaggle datasets ,Engineer (non-software),Other,0-49 employees,0,No (we do not use ML methods),$0-999,$0 ($USD),,
6532,170,25-29,Man,India,Yes,,< 1 years,I do not use machine learning methods,,,,,,,,,,
6533,910,30-34,Man,India,No,Yes,5-10 years,5-10 years, PyTorch Hub ,Data Scientist,Other,"10,000 or more employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)","5,000-7,499",$100-$999, Amazon Web Services (AWS) ,2-5 times
6534,8022,35-39,Woman,India,No,No,< 1 years,,,,,,,,,,,
6535,567,18-21,Man,Cameroon,Yes,,1-3 years,I do not use machine learning methods,,,,,,,,,,
6536,6702,25-29,Man,India,No,,5-10 years,3-4 years, Huggingface Models ,Data Scientist,Accounting/Finance,"1000-9,999 employees",5-9,We use ML methods for generating insights (but do not put working models into production),"10,000-14,999",$0 ($USD),,
6537,1417,18-21,Man,India,Yes,,1-3 years,1-2 years,,,,,,,,,,
6538,323,22-24,Man,India,Yes,No,< 1 years,I do not use machine learning methods,,,,,,,,,,
6539,406,18-21,Woman,India,Yes,,< 1 years,Under 1 year,,,,,,,,,,
6540,124,22-24,Woman,United States of America,Yes,No,< 1 years,,,,,,,,,,,
6541,209,18-21,Man,Russia,Yes,,1-3 years,Under 1 year, Kaggle datasets ,,,,,,,,,
6542,243,30-34,Prefer to self-describe,United States of America,No,,,,,,,,,,,,,
6543,596,25-29,Man,India,Yes,No,< 1 years,Under 1 year,,,,,,,,,,
6544,284,25-29,Man,United Kingdom of Great Britain and Northern Ireland,No,Yes,1-3 years,Under 1 year,,Research Scientist,Academics/Education,250-999 employees,10-14,"We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999",$0 ($USD),,
6545,204,25-29,Man,Pakistan,Yes,No,< 1 years,I do not use machine learning methods,,,,,,,,,,
6546,241,30-34,Woman,India,No,,3-5 years,I do not use machine learning methods,,Currently not employed,,,,,,,,
6547,519,18-21,Man,Indonesia,Yes,,1-3 years,Under 1 year,,,,,,,,,,
6548,259,22-24,Man,India,Yes,No,3-5 years,2-3 years,  TensorFlow Hub ,,,,,,,,,
6549,236,30-34,Man,Other,No,No,< 1 years,I do not use machine learning methods,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Energy/Mining,"1000-9,999 employees",1-2,No (we do not use ML methods),$0-999,$0 ($USD),,
6550,468,18-21,Man,Morocco,Yes,,3-5 years,1-2 years, Huggingface Models ,,,,,,,,,
6551,1114,35-39,Woman,India,No,No,< 1 years,Under 1 year,,Teacher / professor,Academics/Education,250-999 employees,20+,I do not know,,$0 ($USD),,
6552,625,18-21,Man,Pakistan,Yes,,< 1 years,Under 1 year,,,,,,,,,,
6553,1365,25-29,Man,Brazil,Yes,Yes,1-3 years,Under 1 year,,,,,,,,,,
6554,744,50-54,Man,United States of America,No,Yes,20+ years,1-2 years, Kaggle datasets ,Software Engineer,Online Service/Internet-based Services,0-49 employees,1-2,We are exploring ML methods (and may one day put a model into production),"100,000-124,999",$100-$999, Amazon Web Services (AWS) ,2-5 times
6555,664,40-44,Man,India,No,,< 1 years,Under 1 year, Kaggle datasets ,Engineer (non-software),Broadcasting/Communications,250-999 employees,1-2,No (we do not use ML methods),"70,000-79,999",$0 ($USD),,
6556,132,18-21,Man,Bangladesh,Yes,,,,,,,,,,,,,
6557,136,25-29,Man,United States of America,Yes,,,,,,,,,,,,,
6558,455,22-24,Man,India,Yes,No,< 1 years,Under 1 year, Kaggle datasets ,,,,,,,,,
6559,302,30-34,Man,Nigeria,No,Yes,< 1 years,I do not use machine learning methods,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,0-49 employees,1-2,We are exploring ML methods (and may one day put a model into production),$0-999,$0 ($USD),,
6560,531,45-49,Man,India,No,,20+ years,2-3 years,,"Manager (Program, Project, Operations, Executive-level, etc)",Computers/Technology,"10,000 or more employees",10-14,"We have well established ML methods (i.e., models in production for more than 2 years)","40,000-49,999","$100,000 or more ($USD)", Google Cloud Platform (GCP) ,2-5 times
6561,194,25-29,Man,India,Yes,Yes,3-5 years,,,,,,,,,,,
6562,773,40-44,Man,Other,Yes,No,1-3 years,I do not use machine learning methods,,,,,,,,,,
6563,1776,25-29,Man,India,Yes,Yes,< 1 years,1-2 years,,,,,,,,,,
6564,433,22-24,Man,India,No,No,1-3 years,1-2 years,  TensorFlow Hub ,Currently not employed,,,,,,,,
6565,287,18-21,Man,Viet Nam,Yes,,< 1 years,Under 1 year, Kaggle datasets ,,,,,,,,,
6566,164,30-34,Man,United States of America,Yes,No,< 1 years,Under 1 year,,,,,,,,,,
6567,8920,30-34,Man,"Iran, Islamic Republic of...",Yes,Yes,3-5 years,4-5 years, Huggingface Models ,,,,,,,,,
6568,794,50-54,Man,Philippines,No,Yes,10-20 years,5-10 years,,Data Scientist,Other,"10,000 or more employees",20+,We use ML methods for generating insights (but do not put working models into production),"60,000-69,999","$1000-$9,999",They all had a similarly enjoyable developer experience,Never
6569,536,45-49,Man,India,No,Yes,10-20 years,3-4 years,,Teacher / professor,Academics/Education,50-249 employees,3-4,We use ML methods for generating insights (but do not put working models into production),,,,
6570,711,22-24,Man,Nigeria,Yes,,1-3 years,1-2 years,,,,,,,,,,
6571,600,22-24,Woman,Morocco,Yes,,3-5 years,2-3 years, Kaggle datasets ,,,,,,,,,
6572,1256,50-54,Man,Other,No,,3-5 years,1-2 years,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Energy/Mining,250-999 employees,5-9,We use ML methods for generating insights (but do not put working models into production),"150,000-199,999",$100-$999,They all had a similarly enjoyable developer experience,2-5 times
6573,1116,35-39,Woman,Indonesia,Yes,,1-3 years,1-2 years,Other storage services (i.e. google drive),,,,,,,,,
6574,731,30-34,Man,India,Yes,Yes,5-10 years,5-10 years,,,,,,,,,,
6575,251,18-21,Man,India,Yes,No,1-3 years,Under 1 year,,,,,,,,,,
6576,819,55-59,Man,Malaysia,No,Yes,10-20 years,2-3 years,,Data Engineer,Computers/Technology,50-249 employees,20+,We use ML methods for generating insights (but do not put working models into production),"20,000-24,999",$100-$999,,Never
6577,772,30-34,Woman,"Iran, Islamic Republic of...",Yes,,< 1 years,Under 1 year, ONNX models ,,,,,,,,,
6578,615,25-29,Man,India,No,,< 1 years,I do not use machine learning methods,,Currently not employed,,,,,,,,
6579,192,25-29,Man,United States of America,Yes,Yes,5-10 years,1-2 years,,,,,,,,,,
6580,318,35-39,Woman,Spain,Yes,,1-3 years,I do not use machine learning methods,,,,,,,,,,
6581,245,30-34,Man,India,Yes,Yes,5-10 years,3-4 years,  TensorFlow Hub ,,,,,,,,,
6582,4201,30-34,Man,Sri Lanka,No,Yes,5-10 years,4-5 years, NVIDIA NGC models  ,Teacher / professor,Computers/Technology,250-999 employees,1-2,No (we do not use ML methods),$0-999,$100-$999, Google Cloud Platform (GCP) ,
6583,196,18-21,Man,India,Yes,,1-3 years,I do not use machine learning methods,,,,,,,,,,
6584,182,35-39,Man,Turkey,Yes,,I have never written code,,,,,,,,,,,
6585,209,35-39,Woman,United States of America,Yes,No,I have never written code,,,,,,,,,,,
6586,12717,50-54,Man,United States of America,No,Yes,20+ years,10-20 years,,Teacher / professor,Academics/Education,"1000-9,999 employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)","3,000-3,999","$1000-$9,999", Amazon Web Services (AWS) ,More than 25 times
6587,381,25-29,Man,Pakistan,No,Yes,3-5 years,1-2 years,,Teacher / professor,Academics/Education,50-249 employees,10-14,We are exploring ML methods (and may one day put a model into production),$0-999,$0 ($USD),,
6588,567,25-29,Man,Pakistan,No,No,1-3 years,Under 1 year,,Data Scientist,Online Service/Internet-based Services,0-49 employees,3-4,We are exploring ML methods (and may one day put a model into production),"4,000-4,999",$100-$999,,Once
6589,334,30-34,Man,South Africa,No,,1-3 years,I do not use machine learning methods,,Other,Accounting/Finance,0-49 employees,0,No (we do not use ML methods),"5,000-7,499",$0 ($USD),,
6590,192,30-34,Woman,United States of America,Yes,No,< 1 years,I do not use machine learning methods,,,,,,,,,,
6591,1119,22-24,Man,Viet Nam,Yes,,3-5 years,2-3 years,,,,,,,,,,
6592,406,30-34,Woman,United States of America,Yes,No,1-3 years,I do not use machine learning methods,,,,,,,,,,
6593,123,30-34,Man,Mexico,Yes,,< 1 years,I do not use machine learning methods,,,,,,,,,,
6594,161,22-24,Man,Other,No,,< 1 years,,,,,,,,,,,
